#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,building,companyDomain,device_id,location,origin,place
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:32:20Z,36.355024455147294,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:32:30Z,36.11757406932156,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:32:40Z,36.42212349911672,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:32:50Z,35.66915910670816,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:33:00Z,36.353803566489844,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:33:10Z,35.57921200357795,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:33:20Z,35.40656838097706,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:33:30Z,35.75569270481653,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:33:40Z,35.438460982640954,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:33:50Z,34.64525709672677,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:34:00Z,34.69626034329396,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:34:10Z,34.690330312672074,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:34:20Z,35.795209631565704,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:34:30Z,35.791845958733965,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:34:40Z,35.77612390275746,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
