#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,interface
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T11:20:00Z,17809793.75,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T11:30:00Z,17929455.583333332,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T11:40:00Z,18055531.233333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T11:50:00Z,18181116.283333335,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T12:00:00Z,18321847.783333335,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T12:10:00Z,18453375.7,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T12:20:00Z,18580248.333333332,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T12:30:00Z,18717298.916666668,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T12:40:00Z,18858692.333333332,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T12:50:00Z,18992874.183333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T13:00:00Z,19122978.233333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T13:10:00Z,19258379.616666667,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T13:20:00Z,19391128.65,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T13:30:00Z,19524783.083333332,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T13:40:00Z,19663682.9,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T13:50:00Z,19807703.716666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T14:00:00Z,19938341.55,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T14:10:00Z,20076953.033333335,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T14:20:00Z,20230765.083333332,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T14:30:00Z,20375469.4,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T14:40:00Z,20511711.866666667,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T14:50:00Z,20644823.533333335,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T15:00:00Z,20791383.383333333,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T15:10:00Z,20941213.066666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T15:20:00Z,21072807.15,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T15:30:00Z,21197910.133333333,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T15:40:00Z,21324235.333333332,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T15:50:00Z,21466826.283333335,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T16:00:00Z,21593264.433333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T16:10:00Z,21731349.966666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T16:20:00Z,21881605.966666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T16:30:00Z,22025062.7,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T16:40:00Z,22156262.933333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T16:50:00Z,22288290.65,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T17:00:00Z,22424473.95,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T17:10:00Z,22555671.483333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T17:20:00Z,22690271.3,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T17:30:00Z,22824594.216666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T17:40:00Z,22954956.55,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T17:50:00Z,23093225.716666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T18:00:00Z,23230816.433333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T18:10:00Z,23369936.516666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T18:20:00Z,23502104.183333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T18:30:00Z,23631027.483333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T18:40:00Z,23751401.016666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T18:50:00Z,23889909.816666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T19:00:00Z,24016718.033333335,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T19:10:00Z,24139137.166666668,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T19:20:00Z,24267830.6,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T19:30:00Z,24401388.133333333,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T19:40:00Z,24530939.35,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T19:50:00Z,24659510.2,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T20:00:00Z,24804705.916666668,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T20:10:00Z,24934474.266666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T20:20:00Z,25072435.25,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T20:30:00Z,25203424.533333335,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T20:40:00Z,25332933,bytes_recv,net,35c4ab29f7e3,eth0
