#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,chip,feature,host
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T08:30:00Z,31.741666666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T08:40:00Z,32.18333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T08:50:00Z,32.083333333333336,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T09:00:00Z,32.108333333333334,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T09:10:00Z,32.266666666666666,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T09:20:00Z,32.016666666666666,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T09:30:00Z,32.25833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T09:40:00Z,32.31666666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T09:50:00Z,32.025,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T10:00:00Z,32.2,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T10:10:00Z,31.975,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T10:20:00Z,31.883333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T10:30:00Z,31.933333333333334,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T10:40:00Z,31.891666666666666,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T10:50:00Z,31.908333333333335,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T11:00:00Z,31.85,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T11:10:00Z,32.483333333333334,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T11:20:00Z,32.108333333333334,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T11:30:00Z,31.958333333333332,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T11:40:00Z,32.34166666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T11:50:00Z,32.09166666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T12:00:00Z,32.30833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T12:10:00Z,32.375,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T12:20:00Z,32.175,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T12:30:00Z,32.275,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T12:40:00Z,32.38333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T12:50:00Z,32.36666666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T13:00:00Z,32.475,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T13:10:00Z,32.5,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T13:20:00Z,32.59166666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T13:30:00Z,32.5,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T13:40:00Z,32.825,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T13:50:00Z,32.65833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T14:00:00Z,32.55,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T14:10:00Z,32.625,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T14:20:00Z,32.4,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T14:30:00Z,32.59166666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T14:40:00Z,32.25,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T14:50:00Z,32.28333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T15:00:00Z,32.425,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T15:10:00Z,32.55833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T15:20:00Z,32.208333333333336,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T15:30:00Z,32.233333333333334,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T15:40:00Z,32.63333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T15:50:00Z,32.63333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T16:00:00Z,32.675,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T16:10:00Z,33,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T16:20:00Z,32.983333333333334,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T16:30:00Z,32.34166666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T16:40:00Z,32.45,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T16:50:00Z,32.30833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T17:00:00Z,32.43333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T17:10:00Z,32.40833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
