#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T08:00:00Z,87.30440927415648,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T08:10:00Z,87.30963505046923,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T08:20:00Z,87.30043415427626,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T08:30:00Z,87.29797810475864,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T08:40:00Z,87.29911987079895,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T08:50:00Z,87.29697648538958,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T09:00:00Z,87.28975491713449,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T09:10:00Z,87.29124939280753,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T09:20:00Z,87.29019478467353,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T09:30:00Z,87.29132986379517,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T09:40:00Z,87.28689005372308,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T09:50:00Z,87.28710476966972,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T10:00:00Z,87.28270700613193,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T10:10:00Z,87.2846221751112,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T10:20:00Z,87.28212321786528,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T10:30:00Z,87.26796698562865,available_percent,mem,35c4ab29f7e3
,,0,2025-04-19T01:13:40.22891515Z,2025-04-21T01:13:40.22891515Z,2025-04-19T10:40:00Z,87.27443240015559,available_percent,mem,35c4ab29f7e3
